Admin Level 0,Admin Level 1,Admin Level 2,Admin Level 3,
Pakistan, Azad Kashmir, Azad Kashmir, Bagh
Pakistan, Azad Kashmir, Azad Kashmir, Bhimber
Pakistan, Azad Kashmir, Azad Kashmir, Kotli
Pakistan, Azad Kashmir, Azad Kashmir, Mirpur
Pakistan, Azad Kashmir, Azad Kashmir, Muzaffarabad
Pakistan, Azad Kashmir, Azad Kashmir, Neelum
Pakistan, Azad Kashmir, Azad Kashmir, Poonch
Pakistan, Azad Kashmir, Azad Kashmir, Sudhnati
Pakistan, Baluchistan, Kalat, Awaran
Pakistan, Baluchistan, Kalat, Disputed Area 1
Pakistan, Baluchistan, Kalat, Disputed Area 2
Pakistan, Baluchistan, Kalat, Kalat
Pakistan, Baluchistan, Kalat, Kharan
Pakistan, Baluchistan, Kalat, Khuzdar
Pakistan, Baluchistan, Kalat, Lasbela
Pakistan, Baluchistan, Kalat, Mastung
Pakistan, Baluchistan, Makran, Gwadar
Pakistan, Baluchistan, Makran, Kech
Pakistan, Baluchistan, Makran, Panjgur
Pakistan, Baluchistan, Nasirabad, Bolan
Pakistan, Baluchistan, Nasirabad, Jafarabad
Pakistan, Baluchistan, Nasirabad, Jhal Magsi
Pakistan, Baluchistan, Nasirabad, Nasirabad
Pakistan, Baluchistan, Quetta, Chagai
Pakistan, Baluchistan, Quetta, Pishin
Pakistan, Baluchistan, Quetta, Qilla Abdullah
Pakistan, Baluchistan, Quetta, Quetta
Pakistan, Baluchistan, Sibi, Dera Bugti
Pakistan, Baluchistan, Sibi, Kholu
Pakistan, Baluchistan, Sibi, Sibi
Pakistan, Baluchistan, Sibi, Ziarat
Pakistan, Baluchistan, Zhob, Barkhan
Pakistan, Baluchistan, Zhob, Loralai
Pakistan, Baluchistan, Zhob, Musakhel
Pakistan, Baluchistan, Zhob, Qilla Saifullah
Pakistan, Baluchistan, Zhob, Zhob
Pakistan, F.A.T.A., F.A.T.A., Bajaur
Pakistan, F.A.T.A., F.A.T.A., Khyber
Pakistan, F.A.T.A., F.A.T.A., Kurram
Pakistan, F.A.T.A., F.A.T.A., Largha Shirani
Pakistan, F.A.T.A., F.A.T.A., Mohmand
Pakistan, F.A.T.A., F.A.T.A., N. Waziristan
Pakistan, F.A.T.A., F.A.T.A., Orakzai
Pakistan, F.A.T.A., F.A.T.A., S. Waziristan
Pakistan, F.C.T., Islamabad, Islamabad
Pakistan, N.W.F.P., Bannu, Bannu
Pakistan, N.W.F.P., Bannu, Lakki Marwat
Pakistan, N.W.F.P., Dera Ismail Khan, Dera Ismail Khan
Pakistan, N.W.F.P., Dera Ismail Khan, Tank
Pakistan, N.W.F.P., F.A.T.A., Adam Khel
Pakistan, N.W.F.P., F.A.T.A., Bhittani
Pakistan, N.W.F.P., Hazara, Abbottabad
Pakistan, N.W.F.P., Hazara, Battagram
Pakistan, N.W.F.P., Hazara, Haripur
Pakistan, N.W.F.P., Hazara, Kohistan
Pakistan, N.W.F.P., Hazara, Mansehra
Pakistan, N.W.F.P., Kohat, Hangu
Pakistan, N.W.F.P., Kohat, Karak
Pakistan, N.W.F.P., Kohat, Kohat
Pakistan, N.W.F.P., Malakand, Chitral
Pakistan, N.W.F.P., Malakand, Dir
Pakistan, N.W.F.P., Malakand, Malakand P.A.
Pakistan, N.W.F.P., Malakand, Shangla
Pakistan, N.W.F.P., Malakand, Swat
Pakistan, N.W.F.P., Mardan, Buner
Pakistan, N.W.F.P., Mardan, Mardan
Pakistan, N.W.F.P., Mardan, Swabi
Pakistan, N.W.F.P., Peshawar, Charsadda
Pakistan, N.W.F.P., Peshawar, Nowshera
Pakistan, N.W.F.P., Peshawar, Peshawar
Pakistan, Northern Areas, Northern Areas, Chilas
Pakistan, Northern Areas, Northern Areas, Gilgit
Pakistan, Northern Areas, Northern Areas, Gilgit (Tribal Territory)
Pakistan, Northern Areas, Northern Areas, Kargil
