Admin Level 0,Admin Level 1,Admin Level 2,Admin Level 3,Admin Level 4,
Uganda, Adjumani, East Moyo, Adjumani Tc, Biyaya
Uganda, Adjumani, East Moyo, Adjumani Tc, Central
Uganda, Adjumani, East Moyo, Adjumani Tc, Cesia
Uganda, Adjumani, East Moyo, Adropi, Esia
Uganda, Adjumani, East Moyo, Adropi, Jihwa
Uganda, Adjumani, East Moyo, Adropi, Lajopi
Uganda, Adjumani, East Moyo, Adropi, Marindi
Uganda, Adjumani, East Moyo, Adropi, Omi
Uganda, Adjumani, East Moyo, Adropi, Openzinzi
Uganda, Adjumani, East Moyo, Ciforo, Gulinya
Uganda, Adjumani, East Moyo, Ciforo, Kiraba
Uganda, Adjumani, East Moyo, Ciforo, Loa
Uganda, Adjumani, East Moyo, Ciforo, Maaji
Uganda, Adjumani, East Moyo, Ciforo, Mugi
Uganda, Adjumani, East Moyo, Ciforo, Okangali
Uganda, Adjumani, East Moyo, Ciforo, Opejo
Uganda, Adjumani, East Moyo, Dzaipi, Ajugopi
Uganda, Adjumani, East Moyo, Dzaipi, Arinyapi
Uganda, Adjumani, East Moyo, Dzaipi, Elegu
Uganda, Adjumani, East Moyo, Dzaipi, Liri
Uganda, Adjumani, East Moyo, Dzaipi, Logoangwa
Uganda, Adjumani, East Moyo, Dzaipi, Mgbwere
Uganda, Adjumani, East Moyo, Dzaipi, Miniki
Uganda, Adjumani, East Moyo, Ofua, Bacere
Uganda, Adjumani, East Moyo, Ofua, Itirikwa
Uganda, Adjumani, East Moyo, Ofua, Odu
Uganda, Adjumani, East Moyo, Ofua, Subbe
Uganda, Adjumani, East Moyo, Ofua, Tianyu
Uganda, Adjumani, East Moyo, Ofua, Zoka
Uganda, Adjumani, East Moyo, Pakelle, Ataboo Central
Uganda, Adjumani, East Moyo, Pakelle, Boroli
Uganda, Adjumani, East Moyo, Pakelle, Fuda
Uganda, Adjumani, East Moyo, Pakelle, Lewa
Uganda, Adjumani, East Moyo, Pakelle, Meliaderi
Uganda, Adjumani, East Moyo, Pakelle, Pereci
Uganda, Adjumani, East Moyo, Pakelle, Zoka Fr
Uganda, Apac, Kole, Aboke, Akwiridid
Uganda, Apac, Kole, Aboke, Apach
Uganda, Apac, Kole, Aboke, Apuru
Uganda, Apac, Kole, Aboke, Ogwangacuma
Uganda, Apac, Kole, Aboke, Opeta
Uganda, Apac, Kole, Akalo, Abeli
Uganda, Apac, Kole, Akalo, Adyang
Uganda, Apac, Kole, Akalo, Adyeda
Uganda, Apac, Kole, Akalo, Bar-Akalo
Uganda, Apac, Kole, Alito, Adelogo
Uganda, Apac, Kole, Alito, Alito
Uganda, Apac, Kole, Alito, Apala
Uganda, Apac, Kole, Alito, Ayala
Uganda, Apac, Kole, Alito, Ayara
Uganda, Apac, Kole, Alito, Okwerodot
Uganda, Apac, Kole, Alito, Otkwac
Uganda, Apac, Kole, Ayer, Abur
Uganda, Apac, Kole, Ayer, Alemi
Uganda, Apac, Kole, Ayer, Ayer
Uganda, Apac, Kole, Ayer, Ilera
Uganda, Apac, Kole, Ayer, Okwor
Uganda, Apac, Kole, Ayer, Telela
Uganda, Apac, Kole, Balla, Agege I
Uganda, Apac, Kole, Balla, Aumi
Uganda, Apac, Kole, Balla, Bala
Uganda, Apac, Kole, Balla, Omolo-Adyang
Uganda, Apac, Kole, Balla, Omuge
Uganda, Apac, Kole, Balla, Omwara
Uganda, Apac, Kwania, Abongomola, Abany
Uganda, Apac, Kwania, Abongomola, Abwong
Uganda, Apac, Kwania, Abongomola, Acungi
Uganda, Apac, Kwania, Abongomola, Akali
Uganda, Apac, Kwania, Abongomola, Amorigoga
Uganda, Apac, Kwania, Aduku, Aboko
Uganda, Apac, Kwania, Aduku, Adyeda
Uganda, Apac, Kwania, Aduku, Alira
Uganda, Apac, Kwania, Aduku, Apire
Uganda, Apac, Kwania, Aduku, Ongoceng
Uganda, Apac, Kwania, Cawente, Acenlworo
Uganda, Apac, Kwania, Cawente, Alido
